Symbol,Sector,Current_Price,Accumulation_Score,Bullish_Probability,Volume_Accumulation,Consolidation_Periods,Technical_Signals,Breakout_Signals,Current_RSI,Price_vs_200MA,Volume_Ratio,Bullish_Engulfing,Bearish_Engulfing,Hammer_Pattern,Doji_Pattern,Data_Years
BPCL.NS,ENERGY,346.75,0.706,0.5,0.42,2,25,47,70.0,61.53,0.53,38,61,26,100,20.1
CREDITACC.NS,UNKNOWN,1288.5999755859375,0.632,0.5,0.44,0,12,17,61.87,17.77,0.27,10,22,11,37,6.9
SIEMENS.NS,UNKNOWN,3110.300048828125,0.827,0.25,0.425,5,31,52,32.29,-22.39,0.8,31,73,34,114,20.1
IDEA.NS,UNKNOWN,7.760000228881836,0.602,0.25,0.342,0,44,22,50.59,-23.97,0.95,34,58,16,96,18.4
DISHTV.NS,UNKNOWN,5.880000114440918,0.62,0.25,0.401,0,46,19,42.46,-60.61,0.32,33,58,20,109,18.3
GILLETTE.NS,UNKNOWN,11140.0,0.808,0.5,0.361,6,30,53,71.21,76.62,1.32,39,54,30,143,20.1
JUSTDIAL.NS,UNKNOWN,896.9000244140625,0.631,0.75,0.436,0,18,13,47.06,9.13,1.47,22,37,10,73,12.2
GODREJIND.NS,UNKNOWN,1146.800048828125,0.63,0.5,0.435,0,22,45,50.58,62.56,0.77,40,52,17,107,20.1
CARBORUNIV.NS,UNKNOWN,994.7000122070312,0.622,0.25,0.407,0,33,42,44.08,-7.53,0.64,49,50,21,156,20.1
JSWENERGY.NS,UNKNOWN,531.5999755859375,0.612,0.5,0.372,0,31,44,51.07,26.99,0.7,41,50,14,88,15.6
ADANIPORTS.NS,UNKNOWN,1452.5,0.642,0.5,0.473,0,23,45,61.53,48.17,0.43,34,64,18,101,17.7
HINDALCO.NS,METALS,674.5499877929688,0.67,0.5,0.433,1,31,58,54.7,28.39,0.71,42,70,32,105,20.1
AARTIIND.NS,UNKNOWN,456.29998779296875,0.623,0.25,0.409,0,25,69,50.65,-28.55,0.47,39,66,24,113,20.1
BLUEDART.NS,UNKNOWN,6891.0,0.655,0.25,0.382,1,33,53,55.05,-0.85,0.54,48,55,20,130,20.1
RBLBANK.NS,UNKNOWN,268.3599853515625,0.691,0.25,0.504,1,21,13,80.09,45.91,1.01,22,34,8,38,8.9
PERSISTENT.NS,ITSERVICES,5479.72607421875,0.708,0.5,0.426,2,14,77,48.32,64.54,0.6,34,46,17,99,15.3
MCX.NS,UNKNOWN,8259.5,0.649,0.5,0.498,0,21,48,65.51,169.87,0.65,24,43,8,68,13.4
BAJFINANCE.NS,UNKNOWN,923.2999877929688,0.679,0.5,0.464,1,35,105,59.49,29.23,0.39,46,58,35,109,20.1
GSPL.NS,UNKNOWN,335.79998779296875,0.619,0.5,0.397,0,23,43,52.95,13.62,0.35,47,72,12,133,19.5
ARVINDFASN.NS,UNKNOWN,493.1499938964844,0.609,0.75,0.365,0,18,16,56.68,30.32,1.46,4,19,2,42,6.4
BALKRISIND.NS,CHEMICALS,2742.10009765625,0.656,1.0,0.388,1,34,67,56.73,14.24,1.49,52,39,21,134,19.6
BAJAJ-AUTO.NS,AUTO,8330.0,0.817,0.5,0.389,7,25,77,50.76,42.57,0.58,41,81,21,115,20.1
HDFCAMC.NS,UNKNOWN,5510.0,0.639,0.5,0.462,1,8,28,75.42,90.44,1.48,17,24,7,34,7.0
LAURUSLABS.NS,UNKNOWN,821.5,0.639,0.25,0.462,0,11,33,76.23,73.5,0.97,20,23,12,41,8.6
AIROLAM.NS,UNKNOWN,115.62999725341797,0.523,0.5,0.411,0,5,11,57.13,13.2,0.27,10,13,14,49,7.8
IOC.NS,ENERGY,150.9600067138672,0.665,0.5,0.416,1,25,55,61.68,45.02,0.39,29,80,17,119,20.1
IEX.NS,UNKNOWN,205.75,0.702,0.5,0.408,2,11,21,61.3,22.89,0.44,8,26,6,47,7.8
BRIGADE.NS,REALTY,1131.800048828125,0.61,0.5,0.366,0,47,42,52.89,47.68,1.13,45,61,7,119,17.6
GLAND.NS,UNKNOWN,2007.699951171875,0.444,0.5,0.412,0,15,2,72.15,-0.75,2.68,10,9,3,21,4.7
DEEPAKNTR.NS,CHEMICALS,1960.199951171875,0.665,0.25,0.415,1,12,71,42.27,-11.13,0.28,27,44,16,102,14.9
SAIL.NS,METALS,133.60000610351562,0.646,0.5,0.355,1,43,50,60.07,29.06,0.3,51,70,23,111,20.1
SBIN.NS,BANKING,829.0,0.795,0.5,0.448,4,31,51,62.23,34.78,1.04,28,74,21,115,20.1
MARICO.NS,FMCG,733.2999877929688,0.788,0.5,0.427,4,22,32,61.93,32.35,0.48,46,73,24,152,20.1
BOSCHLTD.NS,UNKNOWN,38645.0,0.828,0.5,0.428,7,26,40,75.86,70.6,1.62,43,60,20,127,20.1
HINDZINC.NS,UNKNOWN,437.1000061035156,0.745,0.5,0.416,3,21,43,48.52,33.01,0.43,25,71,13,116,20.1
HEROMOTOCO.NS,AUTO,4443.60009765625,0.826,0.5,0.419,7,20,53,58.73,32.48,1.05,50,61,40,108,20.1
TVSMOTOR.NS,AUTO,2878.800048828125,0.676,0.5,0.453,1,22,89,60.11,80.08,0.83,52,77,20,110,20.1
CYIENT.NS,ITSERVICES,1296.4000244140625,0.603,0.25,0.343,0,37,46,44.67,-1.66,0.48,35,63,18,117,19.1
GESHIP.NS,UNKNOWN,995.1500244140625,0.625,0.5,0.415,0,24,44,53.56,36.15,0.35,42,67,12,126,20.1
INDIGO.NS,UNKNOWN,5796.5,0.594,0.5,0.445,0,8,30,63.96,91.39,0.6,27,28,8,49,9.7
ITI.NS,UNKNOWN,316.3500061035156,0.589,0.5,0.298,0,34,27,54.04,61.44,0.29,29,65,12,136,20.1
DTIL.NS,UNKNOWN,194.5,0.584,0.25,0.28,0,17,16,46.6,-12.83,0.55,17,31,5,77,10.5
CHOLAFIN.NS,UNKNOWN,1564.300048828125,0.631,0.5,0.435,0,28,65,55.18,50.72,0.87,52,61,15,126,20.1
ALKYLAMINE.NS,UNKNOWN,2324.0,0.673,0.5,0.444,1,17,65,68.36,-5.02,0.48,40,35,19,144,17.7
DELTACORP.NS,UNKNOWN,90.51000213623047,0.613,0.25,0.378,0,35,39,45.2,-48.04,0.72,42,59,15,102,17.8
ITC.NS,FMCG,423.95001220703125,0.842,0.5,0.473,8,19,73,51.37,17.92,0.38,38,71,29,132,20.1
OBEROIRLTY.NS,REALTY,1838.699951171875,0.617,0.5,0.39,0,15,34,54.21,45.53,0.78,39,46,18,92,14.8
KOTAKBANK.NS,BANKING,2168.300048828125,0.835,0.5,0.449,6,22,60,58.86,17.39,0.51,44,51,31,114,20.1
BATAINDIA.NS,UNKNOWN,1229.0,0.654,0.25,0.38,1,25,59,44.98,-21.29,0.97,39,65,23,126,20.1
KEI.NS,UNKNOWN,3933.300048828125,0.625,0.5,0.416,0,41,64,58.2,55.1,0.63,24,67,13,99,19.4
INOXLEISUR.NS,UNKNOWN,508.8500061035156,0.599,0.75,0.329,0,29,31,50.66,36.82,0.0,49,47,15,97,17.2
CDSL.NS,UNKNOWN,1714.0999755859375,0.648,0.5,0.428,1,9,34,60.4,91.23,0.45,14,36,6,49,8.1
EMAMILTD.NS,UNKNOWN,588.4500122070312,0.638,0.5,0.461,0,26,46,48.81,15.3,0.82,40,60,21,121,19.0
FORCEMOT.NS,UNKNOWN,16842.0,0.596,0.25,0.452,0,8,33,83.6,294.59,0.89,10,16,4,33,5.8
SBICARD.NS,UNKNOWN,908.7999877929688,0.49,0.5,0.367,1,5,4,54.04,12.13,1.12,12,22,6,26,5.4
INTELLECT.NS,ITSERVICES,1193.699951171875,0.632,0.5,0.442,0,16,33,67.78,61.46,0.35,23,33,8,62,10.6
JKTYRE.NS,UNKNOWN,375.79998779296875,0.635,0.5,0.451,0,52,53,58.88,42.35,0.46,38,65,15,125,20.1
POLYCAB.NS,UNKNOWN,6886.0,0.532,0.5,0.439,0,5,23,65.16,60.85,0.86,10,25,10,40,6.3
COFORGE.NS,TECH,1865.300048828125,0.678,0.5,0.461,1,25,78,61.13,69.17,0.34,36,58,15,125,20.1
CRISIL.NS,UNKNOWN,5934.5,0.704,0.5,0.413,2,21,42,68.17,53.8,0.4,33,62,19,128,20.1
GUJALKALI.NS,UNKNOWN,594.0999755859375,0.661,0.25,0.404,1,35,41,45.29,-17.13,0.24,45,69,16,118,20.1
GICRE.NS,UNKNOWN,386.8500061035156,0.621,0.5,0.269,1,16,15,46.88,57.12,1.0,14,24,5,49,7.8
HOMEFIRST.NS,UNKNOWN,1393.0,0.487,0.75,0.424,0,3,7,63.67,56.46,0.7,11,9,4,28,4.5
BHARATFORG.NS,UNKNOWN,1224.800048828125,0.622,0.5,0.406,0,28,66,50.17,21.12,0.52,51,72,19,109,20.1
CANBK.NS,UNKNOWN,115.52999877929688,0.643,0.5,0.477,0,29,44,66.98,62.56,0.86,46,70,22,110,20.1
JKCEMENT.NS,UNKNOWN,6430.5,0.654,0.25,0.513,0,33,62,71.04,78.36,0.41,45,56,14,144,19.4
RELIANCE.NS,ENERGY,1476.4000244140625,0.826,0.5,0.42,10,20,60,60.29,18.05,0.72,44,66,22,107,20.1
HATHWAY.NS,UNKNOWN,16.520000457763672,0.591,0.5,0.303,0,26,15,56.72,-9.81,5.27,25,54,17,117,15.5
BERGEPAINT.NS,UNKNOWN,579.25,0.711,0.5,0.437,2,17,52,57.9,6.96,0.68,50,67,21,138,20.1
BLISSGVS.NS,UNKNOWN,156.55999755859375,0.611,0.5,0.37,0,23,27,60.1,52.01,0.44,27,60,12,83,15.0
DBL.NS,UNKNOWN,497.45001220703125,0.624,0.5,0.412,0,19,22,54.14,35.94,0.33,15,31,6,48,9.0
APARINDS.NS,UNKNOWN,8859.5,0.615,0.5,0.384,0,30,60,61.78,99.55,0.36,52,54,21,156,20.1
MRF.NS,UNKNOWN,150306.0,0.842,0.25,0.473,7,33,70,70.28,43.79,0.92,32,81,17,116,20.1
LUPIN.NS,PHARMA,1955.699951171875,0.822,0.5,0.407,5,26,78,47.18,54.77,0.55,41,69,28,113,20.1
ELGIEQUIP.NS,UNKNOWN,551.3999633789062,0.607,0.5,0.358,0,24,53,56.27,13.66,0.24,46,67,16,155,20.1
CIPLA.NS,PHARMA,1482.4000244140625,0.824,0.5,0.414,9,28,38,50.48,24.27,0.8,44,71,22,126,20.1
CUMMINSIND.NS,UNKNOWN,3551.300048828125,0.672,0.5,0.44,1,21,74,64.2,72.38,0.8,52,85,21,116,20.1
PAGEIND.NS,UNKNOWN,47285.0,0.702,0.5,0.406,2,11,79,56.76,16.63,0.82,37,63,23,119,18.4
ENDURANCE.NS,UNKNOWN,2700.0,0.657,0.5,0.525,0,15,20,66.74,52.45,0.4,25,28,6,47,8.8
JISLJALEQS.NS,UNKNOWN,54.599998474121094,0.611,0.5,0.371,0,39,49,43.59,6.78,0.41,37,78,19,119,20.1
ANGELONE.NS,UNKNOWN,2740.10009765625,0.503,0.5,0.409,0,4,19,52.73,40.09,1.04,7,17,6,21,4.8
UBL.NS,UNKNOWN,2023.699951171875,0.731,0.5,0.37,3,24,31,50.55,17.58,0.74,43,44,14,124,17.0
DSSL.NS,UNKNOWN,1059.800048828125,0.654,0.75,0.379,1,19,52,45.61,53.89,0.47,31,28,25,112,17.6
ANTGRAPHIC.NS,UNKNOWN,1.2100000381469727,0.669,0.5,0.431,1,25,49,49.92,1.06,0.51,2,9,6,354,20.1
GSFC.NS,CHEMICALS,203.3800048828125,0.617,0.5,0.39,0,24,48,52.65,19.57,0.43,32,73,15,119,20.1
360ONE.NS,UNKNOWN,1205.5999755859375,0.483,0.5,0.408,0,3,14,62.37,90.55,0.38,8,31,2,44,5.9
ALEMBICLTD.NS,UNKNOWN,119.4800033569336,0.606,0.5,0.354,0,34,43,56.41,31.13,0.76,35,66,16,117,20.1
GALAXYSURF.NS,UNKNOWN,2607.10009765625,0.674,0.25,0.448,1,15,13,60.91,-2.23,0.38,7,27,8,50,7.5
HONAUT.NS,UNKNOWN,40595.0,0.739,0.5,0.398,3,29,44,57.29,0.02,0.44,39,62,22,131,20.1
GREAVESCOT.NS,UNKNOWN,209.91000366210938,0.61,0.5,0.366,0,39,33,51.07,29.87,0.86,39,65,18,122,20.1
FORTIS.NS,UNKNOWN,810.25,0.664,0.5,0.415,1,21,33,65.5,100.87,0.64,45,49,13,117,18.3
SRF.NS,CHEMICALS,3202.5,0.664,0.5,0.413,1,26,86,65.53,31.51,0.41,43,73,21,127,20.1
HINDCOPPER.NS,UNKNOWN,267.6499938964844,0.613,0.5,0.378,0,38,29,57.19,43.62,0.27,20,49,7,73,15.6
CCL.NS,UNKNOWN,888.5999755859375,0.624,0.5,0.414,0,26,65,67.15,56.55,0.14,45,71,15,124,20.1
SHREECEM.NS,UNKNOWN,30845.0,0.701,0.75,0.404,2,30,64,57.73,21.58,0.35,65,52,14,122,20.1
NATIONALUM.NS,METALS,189.1199951171875,0.609,0.5,0.364,0,39,54,52.97,56.57,0.36,39,75,16,122,20.1
JCHAC.NS,UNKNOWN,1753.300048828125,0.657,0.5,0.39,1,39,55,52.47,16.41,0.49,54,63,17,110,20.1
AKZOINDIA.NS,UNKNOWN,3618.10009765625,0.806,0.5,0.353,5,23,31,55.32,44.41,0.95,40,58,22,134,20.1
DIVISLAB.NS,PHARMA,6790.5,0.809,0.5,0.498,4,26,94,66.16,57.4,0.8,48,72,30,129,20.1
NESTLEIND.NS,FMCG,2449.10009765625,0.813,0.5,0.378,11,24,41,58.67,14.9,0.67,37,56,26,91,20.1
JETAIRWAYS.NS,UNKNOWN,34.15999984741211,0.564,0.25,0.212,0,61,39,32.54,-45.83,,23,53,21,111,20.1
MUTHOOTFIN.NS,UNKNOWN,2660.0,0.678,0.5,0.459,1,15,45,68.32,81.27,0.28,32,41,14,88,14.3
COLPAL.NS,FMCG,2398.0,0.822,0.5,0.407,6,19,56,42.54,16.26,0.96,45,71,19,142,20.1
BEL.NS,UNKNOWN,404.20001220703125,0.777,0.5,0.524,3,29,75,69.14,134.43,0.38,33,87,17,118,20.1
VOLTAS.NS,UNKNOWN,1390.699951171875,0.691,0.5,0.504,1,43,68,53.34,22.09,0.56,46,71,21,140,20.1
VEDL.NS,METALS,444.3500061035156,0.669,0.5,0.429,1,24,60,52.91,58.46,0.39,44,66,30,110,20.1
BHARTIARTL.NS,UNKNOWN,1913.9000244140625,0.723,0.5,0.477,2,19,50,60.97,77.74,0.58,52,61,24,107,20.1
M&M.NS,AUTO,3195.0,0.833,0.5,0.442,5,30,65,58.86,81.53,0.93,56,75,34,106,20.1
BANCOINDIA.NS,UNKNOWN,664.7000122070312,0.626,0.25,0.422,0,33,58,70.13,189.23,0.54,46,66,19,124,18.7
GMMPFAUDLR.NS,UNKNOWN,1325.699951171875,0.637,0.25,0.39,1,9,18,68.32,-9.45,0.49,12,31,8,37,7.4
AIAENG.NS,UNKNOWN,3447.5,0.631,0.5,0.436,0,25,39,52.9,13.29,0.58,39,70,14,118,19.7
LT.NS,UNKNOWN,3474.0,0.791,0.5,0.436,4,24,61,49.51,29.73,0.71,34,74,22,103,20.1
GLAXO.NS,UNKNOWN,3173.60009765625,0.814,0.5,0.38,8,27,38,57.98,70.98,0.26,63,69,18,141,20.1
BAYERCROP.NS,UNKNOWN,6354.5,0.74,0.5,0.4,3,20,30,64.79,27.64,0.55,37,50,10,103,15.6
